cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength,BEGIN_GMT_TOWDATE,average_depth,decimalLatitude,decimalLongitude,Llopiz_taxa,scientificNameID_preyTaxon,scientificName_preyTaxon,scientificName_Rank
201302,13,C_har,22,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,219,2013-03-16T18:34:47Z,48,37.7404133333333,-74.7186716666667,NA,85761,Centropages,NA
201302,124,C_har,40,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,226,2013-03-27T22:09:45Z,60,39.5307,-72.8928433333333,NA,85761,Centropages,NA
201302,206,C_har,46,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,224,2013-04-10T06:30:11Z,52,41.1313133333333,-69.2895816666667,NA,85761,Centropages,NA
201302,206,C_har,47,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,211,2013-04-10T06:30:11Z,52,41.1313133333333,-69.2895816666667,NA,85761,Centropages,NA
201302,70,C_har,53,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,265,NA,NA,NA,213,2013-03-22T00:46:23Z,36,37.2542116666667,-75.0722883333333,NA,85761,Centropages,NA
201302,70,C_har,54,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,820,NA,NA,NA,220,2013-03-22T00:46:23Z,36,37.2542116666667,-75.0722883333333,NA,85761,Centropages,NA
201302,122,C_har,72,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,199,2013-03-27T18:05:52Z,43,39.6457116666667,-73.1723066666667,NA,85761,Centropages,NA
201302,122,C_har,74,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,177,2013-03-27T18:05:52Z,43,39.6457116666667,-73.1723066666667,NA,85761,Centropages,NA
201302,121,C_har,86,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,180,2013-03-27T16:12:43Z,42,39.6712433333333,-73.2914583333333,NA,85761,Centropages,NA
201302,121,C_har,87,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,170,2013-03-27T16:12:43Z,42,39.6712433333333,-73.2914583333333,NA,85761,Centropages,NA
201302,7,P_tri,14,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,85,2013-03-16T05:26:18Z,113,38.0490483333333,-73.9953866666667,NA,85761,Centropages,NA
201302,3,P_tri,131,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,98,2013-03-15T18:25:50Z,118,38.4110983333333,-73.431095,NA,85761,Centropages,NA
201302,24,S_sco,18,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,277,2013-03-17T17:29:10Z,30,36.6378716666667,-74.9392883333333,NA,85761,Centropages,NA
201302,24,S_sco,20,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,288,2013-03-17T17:29:10Z,30,36.6378716666667,-74.9392883333333,NA,85761,Centropages,NA
201302,218,S_sco,33,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,195,2013-04-11T15:14:24Z,101,41.90631,-69.80113,NA,85761,Centropages,NA
201302,218,S_sco,36,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,215,2013-04-11T15:14:24Z,101,41.90631,-69.80113,NA,85761,Centropages,NA
201302,69,S_sco,42,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,14860,NA,NA,NA,245,2013-03-21T21:55:00Z,29,37.05521,-75.379185,NA,85761,Centropages,NA
201302,69,S_sco,45,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,28630,NA,NA,NA,266,2013-03-21T21:55:00Z,29,37.05521,-75.379185,NA,85761,Centropages,NA
201302,75,S_sco,61,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,256,2013-03-22T10:45:05Z,25,37.6670233333333,-75.1679333333333,NA,85761,Centropages,NA
201302,75,S_sco,62,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,255,2013-03-22T10:45:05Z,25,37.6670233333333,-75.1679333333333,NA,85761,Centropages,NA
201302,122,S_sco,93,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,220,2013-03-27T18:05:52Z,43,39.6457116666667,-73.1723066666667,NA,85761,Centropages,NA
201402,282,A_aes,330,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,142,2014-05-17T18:18:52Z,101,44.0888283333333,-71.1333333333333,NA,85761,Centropages,NA
201402,95,A_aes,335,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,220,2014-04-14T10:00:39Z,67,39.4519933333333,-69.6166666666667,NA,85761,Centropages,NA
201402,95,A_aes,336,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,212,2014-04-14T10:00:39Z,67,39.4519933333333,-72.9772416666667,NA,85761,Centropages,NA
201402,116,A_aes,347,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,920,NA,NA,NA,205,2014-04-16T23:01:50Z,35,39.689,-73.642,NA,85761,Centropages,NA
201402,116,A_aes,348,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,2480,NA,NA,NA,205,2014-04-16T23:01:50Z,35,39.689,-73.642,NA,85761,Centropages,NA
201402,127,A_aes,354,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,3800,NA,NA,NA,220,2014-04-17T22:07:34Z,42,40.120195,-73.5442316666667,NA,85761,Centropages,NA
201402,127,A_aes,355,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,2540,NA,NA,NA,224,2014-04-17T22:07:34Z,42,40.120195,-73.5442316666667,NA,85761,Centropages,NA
201402,70,A_aes,369,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,200,2014-04-11T19:10:43Z,78,40.5013083333333,-70.8271233333333,NA,85761,Centropages,NA
201402,57,A_aes,384,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,2080,NA,NA,NA,194,2014-04-03T01:05:40Z,45,38.587985,-74.2898816666667,NA,85761,Centropages,NA
201402,57,A_aes,385,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,187,2014-04-03T01:05:40Z,45,38.587985,-74.2898816666667,NA,85761,Centropages,NA
201402,56,A_aes,387,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,780,NA,NA,NA,215,2014-04-02T22:40:55Z,63,38.334775,-74.0738666666667,NA,85761,Centropages,NA
201402,56,A_aes,389,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1220,NA,NA,NA,222,2014-04-02T22:40:55Z,63,38.334775,-74.0738666666667,NA,85761,Centropages,NA
201402,84,A_aes,393,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,195,2014-04-13T07:57:36Z,71,40.1852433333333,-72.2013416666667,NA,85761,Centropages,NA
201402,118,A_aes,406,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,6100,NA,NA,NA,215,2014-04-17T03:52:17Z,32,39.8629783333333,-73.7046566666667,NA,85761,Centropages,NA
201402,118,A_aes,407,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,3400,NA,NA,NA,195,2014-04-17T03:52:17Z,32,39.8629783333333,-73.7046566666667,NA,85761,Centropages,NA
201402,69,A_aes,429,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,185,2014-04-11T16:56:28Z,64,40.6541166666667,-70.7571333333333,NA,85761,Centropages,NA
201402,189,A_pse,325,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,164,2014-05-07T01:04:52Z,140,42.1581466666667,-69.9618333333333,NA,85761,Centropages,NA
201402,68,A_pse,337,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,206,2014-04-11T14:04:44Z,55,40.8575783333333,-70.9401116666667,NA,85761,Centropages,NA
201402,118,A_pse,340,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1940,NA,NA,NA,235,2014-04-17T03:52:17Z,32,39.8629783333333,-73.7046566666667,NA,85761,Centropages,NA
201402,118,A_pse,341,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1300,NA,NA,NA,232,2014-04-17T03:52:17Z,32,39.8629783333333,-73.7046566666667,NA,85761,Centropages,NA
201402,64,A_pse,366,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,93,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,64,A_pse,367,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,100,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,116,A_pse,447,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,3060,NA,NA,NA,241,2014-04-16T23:01:50Z,35,39.689,-73.642,NA,85761,Centropages,NA
201402,116,A_pse,448,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,221,2014-04-16T23:01:50Z,35,39.689,-73.642,NA,85761,Centropages,NA
201402,66,C_har,218,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,520,NA,NA,NA,215,2014-04-11T08:35:56Z,54,40.8847816666667,-71.1805033333333,NA,85761,Centropages,NA
201402,66,C_har,219,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,225,2014-04-11T08:35:56Z,54,40.8847816666667,-71.1805033333333,NA,85761,Centropages,NA
201402,64,C_har,220,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,180,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,64,C_har,221,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,180,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,114,C_har,224,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1260,NA,NA,NA,243,2014-04-16T18:00:00Z,43,39.24038,-73.7297483333333,NA,85761,Centropages,NA
201402,114,C_har,225,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,238,2014-04-16T18:00:00Z,43,39.24038,-73.7297483333333,NA,85761,Centropages,NA
201402,64,C_har,237,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,770,NA,NA,NA,133,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,64,C_har,238,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,140,2014-04-11T04:06:09Z,48,41.2053166666667,-71.2291983333333,NA,85761,Centropages,NA
201402,192,C_har,271,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,214,2014-05-07T13:49:42Z,86,41.7286516666667,-68.3617583333333,NA,85761,Centropages,NA
201402,57,C_har,375,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,1730,NA,NA,NA,204,2014-04-03T01:05:40Z,45,38.587985,-74.2898816666667,NA,85761,Centropages,NA
201402,57,C_har,376,NA,Centropages spp.,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,202,2014-04-03T01:05:40Z,45,38.587985,-74.2898816666667,NA,85761,Centropages,NA
